case,signal,decile,ann_mean,spread_d10_d1,decile_spearman
liquid,ml_score,1,0.10168077115634605,0.009487240505160505,0.309090909090909
liquid,ml_score,2,0.11816046328293134,0.009487240505160505,0.309090909090909
liquid,ml_score,3,0.10134881304823992,0.009487240505160505,0.309090909090909
liquid,ml_score,4,0.14509463406172884,0.009487240505160505,0.309090909090909
liquid,ml_score,5,0.12479547296239009,0.009487240505160505,0.309090909090909
liquid,ml_score,6,0.14640459865136796,0.009487240505160505,0.309090909090909
liquid,ml_score,7,0.140710655077545,0.009487240505160505,0.309090909090909
liquid,ml_score,8,0.11940953916071848,0.009487240505160505,0.309090909090909
liquid,ml_score,9,0.13150908484027565,0.009487240505160505,0.309090909090909
liquid,ml_score,10,0.11116801166150655,0.009487240505160505,0.309090909090909
liquid,tail_slope,1,0.15397093278856924,-0.06672314833476616,-0.8545454545454544
liquid,tail_slope,2,0.1221944062991131,-0.06672314833476616,-0.8545454545454544
liquid,tail_slope,3,0.11462447447822215,-0.06672314833476616,-0.8545454545454544
liquid,tail_slope,4,0.12394346832809794,-0.06672314833476616,-0.8545454545454544
liquid,tail_slope,5,0.11032847323470782,-0.06672314833476616,-0.8545454545454544
liquid,tail_slope,6,0.11239953349044292,-0.06672314833476616,-0.8545454545454544
liquid,tail_slope,7,0.11601628037527945,-0.06672314833476616,-0.8545454545454544
liquid,tail_slope,8,0.09560723690061003,-0.06672314833476616,-0.8545454545454544
liquid,tail_slope,9,0.10192560986376906,-0.06672314833476616,-0.8545454545454544
liquid,tail_slope,10,0.08724778445380309,-0.06672314833476616,-0.8545454545454544
liquid,tail_composite,1,0.13783162800685433,-0.045110964352469515,-0.5393939393939393
liquid,tail_composite,2,0.12125184631172169,-0.045110964352469515,-0.5393939393939393
liquid,tail_composite,3,0.14615254511607137,-0.045110964352469515,-0.5393939393939393
liquid,tail_composite,4,0.11936059358641563,-0.045110964352469515,-0.5393939393939393
liquid,tail_composite,5,0.12440913448942861,-0.045110964352469515,-0.5393939393939393
liquid,tail_composite,6,0.13976748180185528,-0.045110964352469515,-0.5393939393939393
liquid,tail_composite,7,0.12363061580097526,-0.045110964352469515,-0.5393939393939393
liquid,tail_composite,8,0.12260707141024306,-0.045110964352469515,-0.5393939393939393
liquid,tail_composite,9,0.07990884283623959,-0.045110964352469515,-0.5393939393939393
liquid,tail_composite,10,0.09272066365438482,-0.045110964352469515,-0.5393939393939393
liquid,tail_reversal,1,0.09221805153284608,0.04540429065366834,0.5393939393939393
liquid,tail_reversal,2,0.08053837344922445,0.04540429065366834,0.5393939393939393
liquid,tail_reversal,3,0.12207062831071543,0.04540429065366834,0.5393939393939393
liquid,tail_reversal,4,0.12363580980876769,0.04540429065366834,0.5393939393939393
liquid,tail_reversal,5,0.1398376514537513,0.04540429065366834,0.5393939393939393
liquid,tail_reversal,6,0.12404985986322377,0.04540429065366834,0.5393939393939393
liquid,tail_reversal,7,0.11964451027934131,0.04540429065366834,0.5393939393939393
liquid,tail_reversal,8,0.14629041018747196,0.04540429065366834,0.5393939393939393
liquid,tail_reversal,9,0.12135155429401358,0.04540429065366834,0.5393939393939393
liquid,tail_reversal,10,0.13762234218651442,0.04540429065366834,0.5393939393939393
large_liquid,ml_score,1,0.10717242525362133,0.009634840371612635,0.7333333333333332
large_liquid,ml_score,2,0.10703740081903482,0.009634840371612635,0.7333333333333332
large_liquid,ml_score,3,0.10569618492348153,0.009634840371612635,0.7333333333333332
large_liquid,ml_score,4,0.11651143057939778,0.009634840371612635,0.7333333333333332
large_liquid,ml_score,5,0.11556298268390341,0.009634840371612635,0.7333333333333332
large_liquid,ml_score,6,0.13224006084042284,0.009634840371612635,0.7333333333333332
large_liquid,ml_score,7,0.1506548463723164,0.009634840371612635,0.7333333333333332
large_liquid,ml_score,8,0.14023549854997572,0.009634840371612635,0.7333333333333332
large_liquid,ml_score,9,0.11907078320272863,0.009634840371612635,0.7333333333333332
large_liquid,ml_score,10,0.11680726562523397,0.009634840371612635,0.7333333333333332
large_liquid,tail_slope,1,0.15990398925583227,-0.06472522181163978,-0.9030303030303028
large_liquid,tail_slope,2,0.11763078409971034,-0.06472522181163978,-0.9030303030303028
large_liquid,tail_slope,3,0.1245496994674692,-0.06472522181163978,-0.9030303030303028
large_liquid,tail_slope,4,0.12199825743951548,-0.06472522181163978,-0.9030303030303028
large_liquid,tail_slope,5,0.11701426090089989,-0.06472522181163978,-0.9030303030303028
large_liquid,tail_slope,6,0.1082769435090379,-0.06472522181163978,-0.9030303030303028
large_liquid,tail_slope,7,0.11078340155494604,-0.06472522181163978,-0.9030303030303028
large_liquid,tail_slope,8,0.11594890264767069,-0.06472522181163978,-0.9030303030303028
large_liquid,tail_slope,9,0.09357470001831739,-0.06472522181163978,-0.9030303030303028
large_liquid,tail_slope,10,0.09517876744419249,-0.06472522181163978,-0.9030303030303028
large_liquid,tail_composite,1,0.14536555261290154,-0.05820948177510894,-0.6606060606060605
large_liquid,tail_composite,2,0.12529817434638346,-0.05820948177510894,-0.6606060606060605
large_liquid,tail_composite,3,0.13766422344643298,-0.05820948177510894,-0.6606060606060605
