strategy,eta,n_months,avg_n_names,gross_ann_mean,gross_sharpe,net_ann_mean,net_sharpe,avg_turnover,avg_cost,p95_participation,ff5_umd_net_alpha,ff5_umd_net_alpha_t,alpha_n,spread_d10_d1,decile_spearman,holdout_start,holdout_end
raw_tail_slope_reversal_skip1_quarterly_smooth3,0.1,154,300.8258064516129,0.0161948129178804,0.3405102413443436,0.0150746353759362,0.3169956749097448,0.1922094914140237,9.334812849535646e-05,0.001937548736551,0.0017734285778221,1.1534745827466857,154.0,,,2013-01,2025-12
raw_tail_slope_reversal_quarterly_smooth3,0.1,155,300.8258064516129,0.015669887648457,0.3182153468685297,0.0143819783393061,0.2916061955475084,0.2003484448225305,0.0001073257757625,0.0019893198694124,0.0015378361774179,0.9292204867311828,155.0,0.0512112912912156,0.7939393939393938,2013-01,2025-12
raw_tail_composite_reversal_quarterly_smooth3,0.1,154,300.8258064516129,0.0110424897018046,0.2260033311590549,0.0098116631548493,0.2004110903293323,0.2345253070018108,0.0001025688789129,0.0017274974753048,0.0010602303829847,0.9810689006014002,154.0,0.0528528603001442,0.8303030303030302,2013-01,2025-12
